method,precision@k,std_precision,latency_ms,timestamp
BOW,0.9060000000000001,0.17252246230563717,0.10275433969358777,2026-02-11 17:35:59
TFIDF,0.736,0.22694492724006854,0.10791501550440287,2026-02-11 17:36:00
SBERT,0.7979999999999999,0.23107574515729684,1.6379139098930597,2026-02-11 17:36:08
